Region,2024 [2024$/kWh],2025 [2024$/kWh],2026 [2024$/kWh],2027 [2024$/kWh],2028 [2024$/kWh],2029 [2024$/kWh],2030 [2024$/kWh],2031 [2024$/kWh],2032 [2024$/kWh],2033 [2024$/kWh],2034 [2024$/kWh],2035 [2024$/kWh],2036 [2024$/kWh],2037 [2024$/kWh],2038 [2024$/kWh],2039 [2024$/kWh],2040 [2024$/kWh],2041 [2024$/kWh],2042 [2024$/kWh],2043 [2024$/kWh],2044 [2024$/kWh],2045 [2024$/kWh],2046 [2024$/kWh],2047 [2024$/kWh],2048 [2024$/kWh],2049 [2024$/kWh],2050 [2024$/kWh],Source
Indonesia,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,https://www.globalpetrolprices.com/electricity_prices/
South Korea,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,https://www.globalpetrolprices.com/electricity_prices/
China,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,https://www.globalpetrolprices.com/electricity_prices/
United Arab Emirates,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,https://www.globalpetrolprices.com/electricity_prices/
United States,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,https://www.globalpetrolprices.com/electricity_prices/
Turkey,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,https://www.globalpetrolprices.com/electricity_prices/
Australia,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,https://www.globalpetrolprices.com/electricity_prices/
Malaysia,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,https://www.globalpetrolprices.com/electricity_prices/
Canada,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,https://www.globalpetrolprices.com/electricity_prices/
Mexico,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,0.211,https://www.globalpetrolprices.com/electricity_prices/
Thailand,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,https://www.globalpetrolprices.com/electricity_prices/
Russia,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,0.090,https://www.globalpetrolprices.com/electricity_prices/
Saudi Arabia,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,https://www.globalpetrolprices.com/electricity_prices/
